iter	MultiClass
0	1.062988746
1	1.027306351
2	0.9960916224
3	0.9698092669
4	0.9438994998
5	0.9200849999
6	0.8977683557
7	0.8778797459
8	0.8607846109
9	0.843129832
10	0.8267194333
11	0.8099249117
12	0.794313804
13	0.7785496746
14	0.7648694826
15	0.7511801439
16	0.7396279804
17	0.7283924709
18	0.7177461944
19	0.7053512765
20	0.6949796822
21	0.6854935551
22	0.6765818007
23	0.6703431879
24	0.6619827838
25	0.6550359111
26	0.647187153
27	0.6409206863
28	0.6336063444
29	0.6272776242
30	0.6196439908
31	0.6133054477
32	0.6064638272
33	0.6020441542
34	0.5973368631
35	0.5928183183
36	0.5883327052
37	0.5834505131
38	0.5787799018
39	0.5739995983
40	0.5694497488
41	0.5648157867
42	0.5609718997
43	0.557521437
44	0.5541498568
45	0.5503333611
46	0.5473943598
47	0.5438719571
48	0.5409898326
49	0.538257884
50	0.5353804955
51	0.5327508461
52	0.5301862363
53	0.5277085404
54	0.5249409336
55	0.5226804926
56	0.5199067994
57	0.5182692473
58	0.5158644501
59	0.5135268041
60	0.5113915082
61	0.5093601785
62	0.5076068258
63	0.5055232835
64	0.5035245895
65	0.5015654424
66	0.4999448063
67	0.4981033018
68	0.4958461345
69	0.4947450698
70	0.4933449138
71	0.49202535
72	0.490735066
73	0.4891712193
74	0.4876989383
75	0.4861539177
76	0.4850677808
77	0.4842538345
78	0.4829069424
79	0.4816930278
80	0.4808057773
81	0.4791975742
82	0.4778055844
83	0.4761939629
84	0.4753175006
85	0.4744249175
86	0.4733186695
87	0.4727017998
88	0.4716241638
89	0.4703264612
90	0.4687048482
91	0.4675522577
92	0.4663831522
93	0.4651042408
94	0.4635949535
95	0.4626594295
96	0.4618200786
97	0.4611184336
98	0.4597025853
99	0.4588976539
100	0.457919127
101	0.4567379814
102	0.4558329681
103	0.4549147125
104	0.4538720123
105	0.4532284545
106	0.4523691358
107	0.4515401493
108	0.4509140789
109	0.4502046326
110	0.4491658094
111	0.4480772942
112	0.4473055964
113	0.4464521302
114	0.4455146285
115	0.4448432999
116	0.4439551078
117	0.4430044773
118	0.4425095559
119	0.4417369043
120	0.4410356958
121	0.4403979416
122	0.4397187309
123	0.4390596776
124	0.4382831895
125	0.4376780846
126	0.43697861
127	0.4362696161
128	0.4357106544
129	0.4349892842
130	0.4341620856
131	0.4336215436
132	0.4331326928
133	0.4321373789
134	0.4314484552
135	0.4307669175
136	0.4302216641
137	0.4295541385
138	0.4290255686
139	0.4285776459
140	0.4282654759
141	0.4277242223
142	0.4271917656
143	0.4263421901
144	0.4254065212
145	0.4248981047
146	0.4242112279
147	0.4235643426
148	0.423220066
149	0.4225130356
150	0.4220411379
151	0.4213567476
152	0.4207146689
153	0.4200568125
154	0.4193611577
155	0.4185625153
156	0.4180784584
157	0.4176216567
158	0.4172997407
159	0.4168843328
160	0.416440065
161	0.4156571917
162	0.4151880041
163	0.4144718441
164	0.4137923494
165	0.4133628553
166	0.4131503453
167	0.4128475794
168	0.4123683361
169	0.4119520977
170	0.4115391006
171	0.4110485502
172	0.4103918283
173	0.4098118732
174	0.4092646024
175	0.4087361799
176	0.408298389
177	0.4078581138
178	0.4073279685
179	0.4065998193
180	0.4060357359
181	0.4056543469
182	0.4051834906
183	0.4044402141
184	0.4040703331
185	0.4035922729
186	0.4032023209
187	0.4024936401
188	0.4019383488
189	0.4013166995
190	0.4007274656
191	0.4002899243
192	0.3998603736
193	0.3992225993
194	0.3986485146
195	0.3981378279
196	0.3976108837
197	0.3970438908
198	0.3964469166
199	0.3960637224
200	0.3956036842
201	0.395074117
202	0.3944801593
203	0.3941633709
204	0.3937101424
205	0.3932291347
206	0.3927273951
207	0.3922737432
208	0.3917940123
209	0.3914131336
210	0.3908223319
211	0.3901561565
212	0.389593055
213	0.3890940643
214	0.3887286067
215	0.3883776854
216	0.3880462925
217	0.3873944428
218	0.3869736992
219	0.3864899504
220	0.3861477619
221	0.3857461372
222	0.3853091854
223	0.3847341798
224	0.3843903133
225	0.3840322591
226	0.3834542259
227	0.3829623311
228	0.3824435101
229	0.382059199
230	0.3816650791
231	0.3812440197
232	0.3808918831
233	0.3805416698
234	0.3800563911
235	0.3796452502
236	0.3793120666
237	0.3790018029
238	0.378586548
239	0.3782216057
240	0.3778612274
241	0.377497453
242	0.3771545649
243	0.3766927526
244	0.376315174
245	0.376116663
246	0.3758347625
247	0.3755051754
248	0.375237187
249	0.3747240103
250	0.3743517007
251	0.3740402992
252	0.3737245139
253	0.3732768578
254	0.3728706327
255	0.3724902873
256	0.3720513184
257	0.3717067618
258	0.3711758019
259	0.3709100864
260	0.3705521351
261	0.3699478618
262	0.369682916
263	0.3691187009
264	0.3688428839
265	0.3685053815
266	0.3682118802
267	0.3678551179
268	0.3673655682
269	0.367087533
270	0.3666662071
271	0.3663941305
272	0.366080552
273	0.3657313675
274	0.3654323968
275	0.3651689226
276	0.364672763
277	0.3644119559
278	0.3642490021
279	0.3638745374
280	0.3635842651
281	0.3631202255
282	0.3628231521
283	0.3625464563
284	0.3622394032
285	0.361917579
286	0.3616666802
287	0.3614339541
288	0.3609396585
289	0.3606997438
290	0.3604362141
291	0.3599789447
292	0.3596907674
293	0.3594768549
294	0.3591652859
295	0.3588584932
296	0.3583169248
297	0.357955455
298	0.3577366696
299	0.3574822145
