iter	Passed	Remaining
0	128	38534
1	146	21780
2	155	15426
3	167	12365
4	180	10646
5	186	9152
6	193	8102
7	195	7133
8	201	6518
9	207	6018
10	214	5633
11	220	5287
12	227	5020
13	237	4849
14	249	4742
15	266	4733
16	278	4637
17	289	4531
18	306	4539
19	318	4456
20	331	4398
21	335	4239
22	342	4126
23	352	4058
24	368	4051
25	380	4012
26	385	3895
27	450	4376
28	464	4336
29	531	4787
30	535	4648
31	538	4513
32	542	4390
33	546	4278
34	551	4178
35	557	4086
36	577	4108
37	583	4025
38	591	3961
39	595	3871
40	598	3781
41	610	3747
42	613	3663
43	620	3609
44	626	3548
45	630	3483
46	636	3427
47	640	3361
48	647	3319
49	655	3279
50	661	3230
51	668	3186
52	674	3144
53	685	3124
54	693	3088
55	704	3071
56	712	3037
57	721	3009
58	728	2976
59	738	2953
60	746	2924
61	754	2894
62	763	2870
63	769	2836
64	774	2798
65	783	2776
66	789	2746
67	799	2728
68	807	2703
69	814	2676
70	820	2645
71	826	2618
72	834	2593
73	837	2557
74	840	2520
75	846	2494
76	850	2464
77	854	2431
78	857	2399
79	864	2378
80	868	2349
81	872	2318
82	877	2294
83	883	2272
84	887	2243
85	889	2214
86	896	2194
87	899	2167
88	902	2139
89	910	2124
90	916	2103
91	920	2081
92	927	2065
93	932	2044
94	937	2022
95	943	2004
96	949	1987
97	954	1968
98	961	1952
99	966	1933
100	971	1913
101	977	1898
102	982	1879
103	988	1862
104	995	1848
105	999	1830
106	1004	1811
107	1010	1796
108	1015	1779
109	1020	1763
110	1027	1749
111	1032	1732
112	1040	1721
113	1046	1707
114	1052	1692
115	1057	1678
116	1061	1660
117	1064	1641
118	1069	1627
119	1074	1612
120	1080	1598
121	1087	1586
122	1092	1571
123	1112	1578
124	1122	1571
125	1127	1556
126	1134	1545
127	1139	1530
128	1142	1515
129	1147	1500
130	1153	1488
131	1156	1472
132	1160	1457
133	1167	1445
134	1171	1431
135	1174	1416
136	1178	1402
137	1184	1390
138	1188	1376
139	1192	1362
140	1200	1353
141	1203	1339
142	1207	1325
143	1213	1314
144	1218	1302
145	1221	1288
146	1226	1276
147	1232	1265
148	1236	1252
149	1241	1241
150	1249	1232
151	1252	1219
152	1256	1207
153	1262	1197
154	1267	1185
155	1270	1172
156	1272	1159
157	1278	1149
158	1283	1138
159	1286	1126
160	1291	1115
161	1298	1106
162	1302	1094
163	1306	1083
164	1313	1074
165	1320	1065
166	1335	1063
167	1343	1055
168	1349	1046
169	1357	1038
170	1363	1028
171	1369	1019
172	1376	1010
173	1384	1002
174	1391	994
175	1398	985
176	1412	981
177	1418	971
178	1426	964
179	1432	955
180	1439	946
181	1447	938
182	1452	928
183	1459	920
184	1466	911
185	1475	904
186	1481	895
187	1491	888
188	1498	879
189	1504	871
190	1512	863
191	1521	856
192	1527	847
193	1532	837
194	1540	829
195	1545	819
196	1550	810
197	1557	802
198	1560	792
199	1563	781
200	1570	773
201	1576	764
202	1579	754
203	1584	745
204	1588	736
205	1591	726
206	1596	717
207	1601	708
208	1604	698
209	1609	689
210	1613	680
211	1618	671
212	1623	663
213	1627	654
214	1631	645
215	1637	636
216	1643	628
217	1647	619
218	1654	611
219	1658	603
220	1662	594
221	1669	586
222	1673	577
223	1676	568
224	1683	561
225	1688	552
226	1692	544
227	1697	536
228	1703	528
229	1709	520
230	1714	512
231	1719	504
232	1724	495
233	1731	488
234	1736	480
235	1739	471
236	1746	464
237	1751	456
238	1754	447
239	1757	439
240	1763	431
241	1766	423
242	1769	415
243	1774	407
244	1778	399
245	1781	391
246	1788	383
247	1795	376
248	1800	368
249	1805	361
250	1810	353
251	1814	345
252	1819	338
253	1824	330
254	1828	322
255	1831	314
256	1835	307
257	1842	299
258	1850	292
259	1857	285
260	1866	278
261	1874	271
262	1880	264
263	1888	257
264	1896	250
265	1901	243
266	1909	235
267	1915	228
268	1922	221
269	1930	214
270	1937	207
271	1949	200
272	1959	193
273	1965	186
274	1972	179
275	1977	171
276	1982	164
277	1988	157
278	1995	150
279	2005	143
280	2018	136
281	2025	129
282	2030	121
283	2037	114
284	2045	107
285	2054	100
286	2061	93
287	2069	86
288	2075	78
289	2081	71
290	2092	64
291	2098	57
292	2106	50
293	2120	43
294	2127	36
295	2133	28
296	2140	21
297	2146	14
298	2156	7
299	2167	0
